timestamp_utc,experiment_id,parent_experiment_id,stage,method,seed,hypothesis,changed_parameters,unchanged_controls,expected_effect,actual_effect,result,next_action,artifact_path
2026-07-27T05:58:37.224406+00:00,isaac_integration_001,,ASSET_VALIDATION,diagnostic,,"canonical asset supports finite stand, wheel signs, and bidirectional small joint motion",fresh isolated validator,"canonical asset, dt, actuator mapping",all tests pass,stand/wheels passed; three negative knee tests immobile on ground,DIAGNOSE,repeat joint sign tests airborne to remove ground-contact confound,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\assets\validation\isaac_integration_001.json
2026-07-27T07:06:43+00:00,replay_50mm_direct_attempt001,,REPLAY_VALIDATION,FSM-reference,,"accepted 50 mm commands reproduce the source motion in the DirectRLEnv","full raw timing; initial replay loader","asset; dt; obstacle; zero residual","dispatch 159 events and reach stable top support","159 events dispatched but targets used stale legacy snapshots; terminal auto-reset and legacy collision proxy also contaminated final metrics",INVALIDATED,"reconstruct state from command/expanded_commands and disable all replay terminations",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\replay\replay_50mm_direct_attempt001\INVALIDATION.json
2026-07-27T07:16:51+00:00,replay_50mm_semantics_smoke_003,replay_50mm_direct_attempt001,REPLAY_VALIDATION,diagnostic,,"corrected command semantics update targets at the same event without reset","3 s diagnostic truncation; command reconstruction; actual-force collision; disabled termination","asset; dt; obstacle; zero residual","first wheel event immediately commands 0.3 rad/s with finite physical response","first event dispatched at its own timestamp; +0.0599 m progress; no collision/fall/command limit/joint limit/numerical failure",PASS_DIAGNOSTIC,"run complete raw-timing 50 mm replay; diagnostic truncation cannot count as formal success",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\diagnostics\replay_direct_50mm_semantics_smoke_003\result.json
2026-07-27T07:17:00+00:00,replay_50mm_direct_attempt002,replay_50mm_direct_attempt001,REPLAY_VALIDATION,FSM-reference,,"corrected exact command dispatch reproduces complete accepted 50 mm motion","full raw timing; reconstructed command state; termination disabled; actual-force collision","asset; dt; obstacle; zero residual; success definition","dispatch all 159 events and evaluate stable top support without resets",RUNNING,RUNNING,"read result and diagnose every failed check before proceeding",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\replay\replay_50mm_direct_attempt002
2026-07-27T07:35:42+00:00,replay_50mm_direct_attempt002,replay_50mm_direct_attempt001,REPLAY_VALIDATION,FSM-reference,,"corrected exact command dispatch reproduces complete accepted 50 mm motion","full raw timing; reconstructed command state; termination disabled; actual-force collision; 2 s post dwell","asset; dt; obstacle; zero residual; success definition","dispatch all 159 events and evaluate stable top support without resets","159/159 events; +0.9417 m; all wheels final top; no safety failure; final stable dwell 62/90 steps because observation tail expired",FAIL,"increase observation-only post dwell from 2 s to 3 s; keep actions physics and 1.5 s success unchanged",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\replay\replay_50mm_direct_attempt002\audited_result.json
2026-07-27T07:39:42+00:00,replay_50mm_direct_attempt003,replay_50mm_direct_attempt002,REPLAY_VALIDATION,diagnostic,,"full-rate safety evaluation can retain downsampled normal telemetry without losing anomaly evidence","3 s post dwell; every-step JSON serialization","actions; physics; success; every-step safety predicates","measure throughput and retain complete safety coverage","correct physics but excessive serialization overhead; stopped at about 20 s simulated time using exact PID",INVALIDATED,"evaluate safety every step; serialize every third normal frame and force-write every anomalous/terminal frame",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\replay\replay_50mm_direct_attempt003\INVALIDATION.json
2026-07-27T07:40:44+00:00,replay_50mm_direct_attempt004,replay_50mm_direct_attempt003,REPLAY_VALIDATION,diagnostic,,"optimized logging preserves every-step safety coverage","optimized normal-frame logging; 3 s post dwell","actions; physics; success definition","start reproducible replay","startup warning showed environment seed unset; stopped before useful progress with exact PID",INVALIDATED,"set and record fixed replay seed then restart",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\replay\replay_50mm_direct_attempt004\INVALIDATION.json
2026-07-27T08:02:13+00:00,replay_50mm_direct_attempt005,replay_50mm_direct_attempt002,REPLAY_VALIDATION,FSM-reference,20260727,"seeded raw timing reproduces complete accepted 50 mm traversal","fixed seed; 3 s observation tail; every-step safety checks; normal telemetry stride 3","source commands; asset; physics; success definition","159 events; four-wheel top stable dwell; no safety failure","PASS: +0.941704 m; stable dwell observed; all independent audit checks pass",PASS,"run source-evidence fast/no-cap profile and then 100 mm",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\replay\replay_50mm_direct_attempt005\audited_result.json
2026-07-27T08:12:36+00:00,replay_50mm_fast_attempt001,replay_50mm_direct_attempt005,REPLAY_VALIDATION,FSM-reference,20260727,"source fast/no-cap profile preserves physical replay outcome while reducing wall time","fast profile with original per-event short delays and no long-gap cap","source commands; asset; physics; 2 N per-wheel support criterion","dispatch all commands and attain stable four-wheel top support","159/159 events and 269/269 commands; +0.915501 m; all wheels geometrically on top; no safety failure; rear-right final upward force approximately 1.83 N remained below the 2 N reference threshold so stable dwell was never observed",FAIL,"retain this failure unchanged; use authoritative raw timing for the required 100 mm replay because the fast timing changed terminal load distribution",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\replay\replay_50mm_fast_attempt001\audited_result.json
2026-07-27T08:15:20+00:00,replay_100mm_direct_attempt001,,REPLAY_VALIDATION,FSM-reference,20260727,"seeded raw timing reproduces complete accepted 100 mm traversal","full raw timing; fixed seed; 3 s observation tail; every-step safety checks; normal telemetry stride 3","source commands; asset; physics; success definition; 2 N support threshold","dispatch all 68 aggregate events and 101 expanded commands; four-wheel top stable dwell; no safety failure",RUNNING,RUNNING,"read result and independently audit every check before enabling downstream FSM work",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\replay\replay_100mm_direct_attempt001
