hypothesis,verdict,confidence,evidence,counter-evidence,affected methods,affected heights,recommended diagnostic,recommended fix priority
FSM baseline itself is unreliable,SUPPORTED,HIGH,"fsm_results.csv: 12/20, 7/20, 7/20",Some fixed scenarios succeed,"B,C",50/75/100,paired zero-residual checkpoint test,P0
PPO residual is too large and destroys the FSM,NOT_SUPPORTED,HIGH,final-policy executed residual is near zero; saturation 0,Older diagnostics may contain nonzero residual,B,75/100,evaluate an explicitly chosen nonzero checkpoint,P3
PPO residual is too small to change the FSM,SUPPORTED,HIGH,residual_action_statistics.png and identical final outcomes,Raw policy outputs are nonzero before phase/state projection,B,75/100,log gate occupancy and executed residual during training,P0
Actions are heavily clipped,NOT_SUPPORTED,HIGH,episodes residual_saturation_rate=0; telemetry policy clip fraction ~0,Phase gain has a hard clip but is rarely reached,B,75/100,retain saturation instrumentation,P3
Workspace projection removes wheel-center residual,NOT_SUPPORTED,HIGH,runtime has no workspace projection; invalid IK falls back to baseline,The specialized action projection removes channels before IK,"B,C",all,separately log action projection and IK fallback,P2
IK branch or joint clipping breaks continuity,NOT_SUPPORTED,MEDIUM,nearest-reference branch selection; canonical terminal IK invalid counts are zero,Per-step joint target rate limiting can alter requested motion,B,75/100,log requested-vs-final wheel-center displacement,P2
Wheel-speed residual causes slip or collision,NOT_SUPPORTED,HIGH,v34 final executed wheel-speed residual is effectively zero; FSM has same collision pattern,Earlier v31-v33 diagnostics tested wheel corrections,B,100,only test under registered diagnostic label,P3
PPO optimizes progress while ignoring support transfer,PARTIALLY_SUPPORTED,MEDIUM,progress weight 8; Method B CoM weight 0; no training component telemetry,"success, collision, phase-progress and top-contact terms exist",B,all,log per-term returns by phase,P1
"Method B has no CoM reward, so stability improvement is not expected",SUPPORTED,HIGH,ppo_without_com.yaml com_margin_weight=0.0,pitch/slip/tilt penalties still provide indirect stability incentives,B,all,evaluate Method C separately,P0
Method C training is not complete,SUPPORTED,HIGH,"seed 11 / 50 mm status=RUNNING, checkpoints=13, development_gate=False",Method C has started but is not complete,C,all,monitor the externally owned run; evaluate only after a completed development gate,P0
Orchestration waits for Method B promote before Method C,NOT_SUPPORTED,HIGH,run_until_success defaults ContinueAfterFailedDevelopmentGate=true and schedules C after B coverage,Sequential scheduling still waits for B process completion,"B,C",all,fix supervisor exit-code bug,P1
Method B failure incorrectly blocks Method C,NOT_SUPPORTED,HIGH,failed gates are explicitly continued; supervisor attempt 3 proceeded to Method C,earlier supervisor attempts failed on an empty exit-code message,"B,C",all,repair supervisor exit-code handling without interrupting the live run,P1
Training success proxy differs from formal success,PARTIALLY_SUPPORTED,MEDIUM,"best_agent uses tracked total return, not development success",environment success reward uses the same success buffer as evaluation,"B,C",all,evaluate checkpoint candidates on development success,P1
best_agent selection is not based on development success,SUPPORTED,HIGH,skrl base.py selects highest Reward / Total reward (mean),A correlation with success is possible but unverified,"B,C",all,rename/document as training-return-best,P0
final_agent is worse than an intermediate checkpoint,INSUFFICIENT_EVIDENCE,LOW,no best/mid checkpoint development evaluations,final gates are complete,B,75/100,run fixed 5-10 scenario diagnostic when no supervisor owns Isaac,P1
"Curriculum restores only policy, not optimizer/normalizers",NOT_SUPPORTED,HIGH,"checkpoint keys include policy,value,optimizer,observation/state/value preprocessors",scheduler is not checkpointed,"B,C",75/100,document whole-agent load semantics,P3
Optimizer reset causes forgetting at new heights,NOT_SUPPORTED,HIGH,optimizer state is in checkpoint and agent.load loads all modules,KLAdaptiveLR scheduler object resets,"B,C",75/100,log scheduler state at stage boundary,P2
100 mm full randomization is introduced too early,INSUFFICIENT_EVIDENCE,LOW,100 mm uses full randomization despite failed 75 mm gate,fixed schedule intentionally continues failed gates,"B,C",100,stratify training/eval outcomes by randomization,P2
