requirement,description,status,source file,source line,config,run evidence,result evidence,last modified,limitations,next required action
Robot asset discovery,Discover canonical URDF/USD and record provenance,COMPLETE_AND_RUN,src\resume_validation\asset_discovery.py,34,configs\robot.yaml,source_manifest.csv; system_inventory.json,configs\robot.yaml:3-17,2026-07-27T01:45:28.180006,Runtime asset hash is frozen,None for audit
URDF/USD validation,Validate articulation and converted validation asset,COMPLETE_AND_RUN,src\resume_validation\usd_asset_audit.py,53,configs\robot.yaml,runs\diagnostics\residual_env_validation_003.json,configs\robot.yaml:17,2026-07-27T02:10:33.604407,Validation asset changes only eight servo limits,Preserve selected asset
actuator limits,Verify joint and wheel limits,COMPLETE_AND_RUN,src\resume_validation\actuator_mapping.py,1,configs\actuator_limits.yaml,tests\test_servo_limits.py,training preflight and zero-residual tests,2026-07-27T06:50:10.825104,Config retains stale PENDING wording despite runtime evidence,Reconcile wording only after experiment stops
servo/wheel mapping,Map eight servos and four wheel signs,COMPLETE_AND_RUN,src\resume_validation\actuator_mapping.py,1,configs\actuator_limits.yaml,tests\test_joint_mapping.py,configs\actuator_limits.yaml:10-23,2026-07-27T06:50:10.825104,Per-side wheel signs are explicit,None
replay 50 mm,Replay accepted 50 mm commands,COMPLETE_AND_RUN,src\resume_validation\replay_direct_validation.py,1,configs\fsm.yaml,runs\replay\replay_50mm_direct_attempt005,experiment_state.json:raw_50mm_replay=true,2026-07-27T03:57:26.555563,Multiple preserved attempts,Use frozen result only
replay 100 mm,Replay accepted 100 mm commands,PARTIAL,src\resume_validation\replay_direct_validation.py,1,configs\fsm.yaml,runs\replay\replay_100mm_direct_attempt001,experiment_state.json:raw_100mm_replay_execution=true; raw_100mm_traversal=false,2026-07-27T03:57:26.555563,Source replay is partial and does not itself traverse,Do not claim successful raw 100 mm replay
telemetry,Write episode and step evidence,COMPLETE_AND_RUN,src\resume_validation\telemetry_writer.py,11,configs\telemetry.yaml,284 telemetry/episode artifacts,development result hash chains,2026-07-27T01:41:29.902540,Training telemetry omits many requested learning diagnostics,Add instrumentation before retraining
contact feedback,Use Isaac ContactSensor and classify support/collision,COMPLETE_AND_RUN,src\resume_validation\contact_processing.py,30,configs\environment.yaml,runs\diagnostics\residual_env_validation_003.json,development telemetry contact fields,2026-07-27T02:29:35.183706,Opposing shape is inferred geometrically,Targeted contact audit for failures
CoM estimator,Compute whole-body CoM,COMPLETE_AND_RUN,src\resume_validation\com_estimator.py,15,configs\metrics.yaml,tests\test_com_estimator.py,development margin metrics,2026-07-27T01:40:02.320489,Actor does not receive CoM/margin,Retain as critic/evaluation evidence
support margin,Compute longitudinal quasi-static support margin,COMPLETE_AND_RUN,src\resume_validation\support_margin.py,26,configs\metrics.yaml,tests\test_support_margin.py,FSM and B development aggregates,2026-07-27T01:40:02.320489,Invalid margins are encoded as zero in critic,Instrument validity rate in training
FSM controller,Contact-gated replay-derived FSM,COMPLETE_AND_RUN,src\resume_validation\residual_rl_env.py,957,configs\fsm.yaml,runs\fsm\development_* current/formal,fsm_results.csv,2026-07-30T10:59:38.871818,Runtime vector FSM is the authoritative implementation,See FSM_IMPLEMENTATION.md
frozen FSM config,Freeze FSM and metrics after development,COMPLETE_AND_RUN,src\resume_validation\method_freeze.py,1,configs\config_freeze.json,configs\config_freeze.json,current hashes match formal training provenance,2026-07-30T13:27:00.870608,Selection hash differs only by documented frozen flag,Do not modify during audit
FSM baseline evaluation,Evaluate fixed development scenarios at all heights,COMPLETE_AND_RUN,src\resume_validation\evaluate_controller.py,192,data\scenario_manifests\development_v2.json,runs\fsm\development_50mm_current_config_attempt043; development_75mm_formal_full_attempt042; development_100mm_current_config_attempt044,fsm_results.csv,2026-07-30T11:38:28.494341,Only development evidence; no validation/locked campaign,Formal paired validation remains
residual action,12-D bounded residual on FSM,COMPLETE_AND_RUN,src\resume_validation\residual_rl_env.py,1289,configs\ppo_common.yaml,zero_residual_exact=true in training preflight,Method B telemetry,2026-07-30T10:59:38.871818,Effective v34 projection masks x and most physical actions,Diagnose gate occupancy before retraining
analytic IK,Map wheel-center target to joint targets,COMPLETE_AND_RUN,src\resume_validation\residual_rl_env.py,1251,configs\robot.yaml,runtime_fk_validation_002.json; tests\test_ik_fk_roundtrip.py,zero fallback in canonical episode evidence,2026-07-30T10:59:38.871818,No workspace clipping; invalid all-leg solution falls back to FSM,Expose IK fallback rate in training
PPO environment,Isaac Lab DirectRLEnv residual environment,COMPLETE_AND_RUN,src\resume_validation\residual_rl_env.py,109,configs\environment.yaml,nine completed Method B v34 trainings,training_result.json preflight,2026-07-30T10:59:38.871818,Derived from legacy environment plumbing,No new training in this audit
Actor observation,Deployment-conscious 96-D policy input,COMPLETE_AND_RUN,src\resume_validation\residual_rl_env.py,1721,configs\ppo_common.yaml,"preflight actor shape [64,96]",observation_schema.csv,2026-07-30T10:59:38.871818,Perfect obstacle fields are currently injected,Review real-sensor parity
Critic privileged observation,146-D critic state with contacts/CoM/randomization,COMPLETE_AND_RUN,src\resume_validation\residual_rl_env.py,1798,configs\ppo_common.yaml,"preflight critic shape [64,146]",observation_schema.csv,2026-07-30T10:59:38.871818,Correctly separated from actor,None
Method B without CoM,Residual PPO ablation with CoM weight 0,COMPLETE_AND_RUN,src\resume_validation\train_residual_ppo.py,434,configs\ppo_without_com.yaml,9/9 v34 seed-height training and gates complete,all promote=false,2026-07-30T10:59:38.872818,Cannot stand in for Method C,Analyze as ablation only
Method C with CoM,Residual PPO with CoM weight 8,PARTIAL,src\resume_validation\train_residual_ppo.py,443,configs\ppo_with_com.yaml,runs\ppo_with_com\training\method-C-v34_seed-11_stage-50mm_attempt001\training_result.json,"seed 11 / 50 mm status=RUNNING, checkpoints=13, development_gate=False",2026-07-30T10:59:38.872818,Training is externally owned and incomplete; no development result can be interpreted,Monitor only; do not interrupt or start a competing Isaac process
domain randomization,Bounded distance/pitch/friction/delay/noise,COMPLETE_AND_RUN,src\resume_validation\training_randomization.py,48,configs\obstacle_train.yaml,training_result provenance,full/light/full by height,2026-07-28T10:37:05.925556,No training distribution coverage telemetry,Instrument sampled distribution/outcomes
curriculum,50→75→100 warm start with per-height gate,COMPLETE_AND_RUN,src\resume_validation\curriculum_gate.py,19,configs\ppo_common.yaml,9 Method B gate_decision.json files,all promote=false; schedule continued by explicit policy,2026-07-27T08:43:51.990338,Cross-stage scheduler resets,Do not describe failed gates as promotion
multi-seed training,Three seeds for both B and C,PARTIAL,src\resume_validation\train_residual_ppo.py,197,configs\experiment_protocol.yaml,Method B seeds 11/29/47 complete,"seed 11 / 50 mm status=RUNNING, checkpoints=13, development_gate=False",2026-07-30T10:59:38.872818,Method C multi-seed/multi-height coverage is incomplete,Monitor only; do not interrupt or start a competing Isaac process
development gate,20 fixed development episodes per height,COMPLETE_AND_RUN,src\resume_validation\curriculum_gate.py,19,configs\ppo_common.yaml,9 Method B gate decisions,0/9 promoted,2026-07-27T08:43:51.990338,Gate evaluates final_agent only,Do not treat completion as passing
validation,Frozen validation selection,IMPLEMENTED_NOT_RUN,src\resume_validation\validation_selection.py,125,configs\validation_selection_protocol.json,scripts\07_run_validation.ps1 exists,runs\validation absent,2026-07-30T11:24:33.814524,Requires complete B and C,Do not run until methods complete
locked test,Paired locked confirmatory test,IMPLEMENTED_NOT_RUN,src\resume_validation\locked_test_guard.py,1,configs\experiment_protocol.yaml,scripts\09_run_locked_test.ps1 exists,method_freeze.json and runs\locked_test absent,2026-07-30T12:58:50.222304,Locked scenarios not read in this audit,Remain locked
FSM vs PPO comparison,Fair paired comparison on same scenarios,PARTIAL,src\resume_validation\evaluate_controller.py,192,data\scenario_manifests\development_v2.json,existing FSM and B development runs use same manifest,checkpoint_diagnostic_comparison.csv,2026-07-30T11:38:28.494341,"No completed Method C gate, validation selection, or locked test",Formal comparison not complete
